1	202737	    47.667483330	   -122.10708330	  16480281.15130	   6418735.55010
2	202738	    47.667500000	   -122.10706670	  16480282.14900	   6418737.39380
3	202739	    47.667500000	   -122.10706670	  16480282.14900	   6418737.39380
4	202740	    47.667516670	   -122.10703330	  16480283.15580	   6418741.10840
5	202741	    47.667533330	   -122.10698330	  16480284.17110	   6418746.67170
6	202742	    47.667533330	   -122.10691670	  16480284.20760	   6418754.08840
7	202743	    47.667516670	   -122.10683330	  16480283.26530	   6418763.38080
8	202744	    47.667516670	   -122.10673330	  16480283.32000	   6418774.51700
9	202737	    47.667483330	   -122.10708330	  16480281.15130	   6418735.55010
10	202738	    47.667500000	   -122.10706670	  16480282.14900	   6418737.39380
11	202739	    47.667500000	   -122.10706670	  16480282.14900	   6418737.39380
12	202740	    47.667516670	   -122.10703330	  16480283.15580	   6418741.10840
13	202741	    47.667533330	   -122.10698330	  16480284.17110	   6418746.67170
14	202742	    47.667533330	   -122.10691670	  16480284.20760	   6418754.08840
15	202743	    47.667516670	   -122.10683330	  16480283.26530	   6418763.38080
16	202744	    47.667516670	   -122.10673330	  16480283.32000	   6418774.51700
17	202745	    47.667516670	   -122.10660000	  16480283.39300	   6418789.36150
18	202746	    47.667516670	   -122.10646670	  16480283.46600	   6418804.20610
19	202747	    47.667516670	   -122.10633330	  16480283.53900	   6418819.06170
20	202748	    47.667516670	   -122.10620000	  16480283.61190	   6418833.90630
21	202749	    47.667516670	   -122.10606670	  16480283.68490	   6418848.75080
22	202750	    47.667516670	   -122.10595000	  16480283.74880	   6418861.74670
23	202751	    47.667516670	   -122.10583330	  16480283.81270	   6418874.74270
24	202752	    47.667516670	   -122.10570000	  16480283.88560	   6418889.58720
25	202753	    47.667516670	   -122.10558330	  16480283.94950	   6418902.58310
26	202754	    47.667516670	   -122.10546670	  16480284.01340	   6418915.56790
27	202755	    47.667516670	   -122.10535000	  16480284.07720	   6418928.56390
28	202756	    47.667516670	   -122.10521670	  16480284.15020	   6418943.40840
29	202757	    47.667516670	   -122.10510000	  16480284.21410	   6418956.40430
30	202758	    47.667516670	   -122.10500000	  16480284.26880	   6418967.54050
31	202759	    47.667533330	   -122.10486670	  16480285.32970	   6418982.38020
32	202800	    47.667533330	   -122.10475000	  16480285.39360	   6418995.37610
33	202801	    47.667533330	   -122.10461670	  16480285.46660	   6419010.22070
34	202802	    47.667533330	   -122.10448330	  16480285.53960	   6419025.07640
35	202803	    47.667533330	   -122.10433330	  16480285.62170	   6419041.78070
36	202804	    47.667533330	   -122.10418330	  16480285.70380	   6419058.48490
